Name,URL,Dir,Release,CommitID
tika,https://github.com/apache/tika.git,tika-core,2.6.0,41319f3c294b13de5342a80570b4540f7dd04a3e
undertow,https://github.com/undertow-io/undertow.git,core,2.2.21.Final,56c91f129b1c2a55cf3287836cc68c80acce54c6
