Project,FilePath,BuildResult
auto_common,results/auto_common/deptrim/maven.log,FAILURE
tablesaw_json,results/tablesaw_json/deptrim/maven.log,SUCCESS
commons-pool,results/commons-pool/deptrim/maven.log,SUCCESS
commons-validator,results/commons-validator/deptrim/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/maven.log,SUCCESS
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/maven.log,SUCCESS
nifi_nifi-bootstrap,results/nifi_nifi-bootstrap/deptrim/maven.log,SUCCESS
jooby,results/jooby/jooby/deptrim/maven.log,SUCCESS
rultor,results/rultor/deptrim/maven.log,SUCCESS
mybatis-3,results/mybatis-3/deptrim/maven.log,SUCCESS
woodstox,results/woodstox/deptrim/maven.log,SUCCESS
para_para-core,results/para_para-core/deptrim/maven.log,SUCCESS
error-prone_core,results/error-prone_core/deptrim/maven.log,SUCCESS
lanterna_native-integration,results/lanterna_native-integration/deptrim/maven.log,SUCCESS
pdfbox_pdfbox,results/pdfbox_pdfbox/deptrim/maven.log,SUCCESS
jacop,results/jacop/deptrim/maven.log,SUCCESS
undertow_core,results/undertow_core/deptrim/maven.log,SUCCESS
httpcomponents-client_httpclient5,results/httpcomponents-client_httpclient5/deptrim/maven.log,SUCCESS
jcabi-github,results/jcabi-github/deptrim/maven.log,SUCCESS
javaparser_javaparser-symbol-solver-core,results/javaparser_javaparser-symbol-solver-core/deptrim/maven.log,SUCCESS
qart4j,results/qart4j/deptrim/maven.log,SUCCESS
redisson_redisson,results/redisson_redisson/deptrim/maven.log,SUCCESS
spoon,results/spoon/deptrim/maven.log,FAILURE
gson_metrics,results/gson_metrics/deptrim/maven.log,SUCCESS
vertx-unit,results/vertx-unit/deptrim/maven.log,SUCCESS
flink_flink-java,results/flink_flink-java/deptrim/maven.log,FAILURE
spark,results/spark/deptrim/maven.log,FAILURE
shiro_core,results/shiro_core/deptrim/maven.log,SUCCESS
java-faker,results/java-faker/deptrim/maven.log,SUCCESS
tika_tika-core,results/tika_tika-core/deptrim/maven.log,SUCCESS
