Project,Dependency,FilePath,Size
error-prone,dataflow-errorprone-3.24.0.jar,results/error-prone/core/deptrim/libs-specialized/dataflow-errorprone-3.24.0.jar,648397
error-prone,checker-qual-3.12.0.jar,results/error-prone/core/deptrim/libs-specialized/checker-qual-3.12.0.jar,17988
error-prone,java-diff-utils-4.0.jar,results/error-prone/core/deptrim/libs-specialized/java-diff-utils-4.0.jar,30169
error-prone,error_prone_check_api-2.16.jar,results/error-prone/core/deptrim/libs-specialized/error_prone_check_api-2.16.jar,631186
error-prone,software-and-algorithms-1.0.jar,results/error-prone/core/deptrim/libs-specialized/software-and-algorithms-1.0.jar,5830
error-prone,auto-value-annotations-1.9.jar,results/error-prone/core/deptrim/libs-specialized/auto-value-annotations-1.9.jar,6583
error-prone,caffeine-3.0.5.jar,results/error-prone/core/deptrim/libs-specialized/caffeine-3.0.5.jar,278292
error-prone,error_prone_annotations-2.16.jar,results/error-prone/core/deptrim/libs-specialized/error_prone_annotations-2.16.jar,15655
error-prone,j2objc-annotations-1.3.jar,results/error-prone/core/deptrim/libs-specialized/j2objc-annotations-1.3.jar,5049
error-prone,auto-common-1.2.1.jar,results/error-prone/core/deptrim/libs-specialized/auto-common-1.2.1.jar,84130
error-prone,protobuf-java-3.19.2.jar,results/error-prone/core/deptrim/libs-specialized/protobuf-java-3.19.2.jar,1284157
error-prone,guava-31.0.1-jre.jar,results/error-prone/core/deptrim/libs-specialized/guava-31.0.1-jre.jar,2369222
error-prone,jsr305-3.0.2.jar,results/error-prone/core/deptrim/libs-specialized/jsr305-3.0.2.jar,9762
commons-pool,asm-7.1.jar,results/commons-pool/deptrim/libs-specialized/asm-7.1.jar,111219
commons-pool,asm-util-9.2.jar,results/commons-pool/deptrim/libs-specialized/asm-util-9.2.jar,34310
commons-pool,cglib-3.3.0.jar,results/commons-pool/deptrim/libs-specialized/cglib-3.3.0.jar,185699
checkstyle,commons-logging-1.2.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/commons-logging-1.2.jar,55397
checkstyle,Saxon-HE-11.4.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/Saxon-HE-11.4.jar,4929318
checkstyle,slf4j-api-1.7.32.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/slf4j-api-1.7.32.jar,30547
checkstyle,picocli-4.7.0.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/picocli-4.7.0.jar,389147
checkstyle,javassist-3.28.0-GA.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/javassist-3.28.0-GA.jar,709706
checkstyle,error_prone_annotations-2.11.0.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/error_prone_annotations-2.11.0.jar,10673
checkstyle,reflections-0.10.2.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/reflections-0.10.2.jar,115666
checkstyle,commons-collections-3.2.2.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/commons-collections-3.2.2.jar,18088
checkstyle,xmlresolver-4.4.3.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/xmlresolver-4.4.3.jar,141509
checkstyle,j2objc-annotations-1.3.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/j2objc-annotations-1.3.jar,3742
checkstyle,commons-beanutils-1.9.4.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/commons-beanutils-1.9.4.jar,127229
checkstyle,guava-31.1-jre.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/guava-31.1-jre.jar,1325624
checkstyle,jsr305-3.0.2.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/jsr305-3.0.2.jar,7768
checkstyle,checker-qual-3.27.0.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/checker-qual-3.27.0.jar,8912
checkstyle,antlr4-runtime-4.11.1.jar,results/checkstyle/checkstyle/deptrim/libs-specialized/antlr4-runtime-4.11.1.jar,287320
pdfbox,commons-logging-1.2.jar,results/pdfbox/pdfbox/deptrim/libs-specialized/commons-logging-1.2.jar,20943
pdfbox,fontbox-2.0.27.jar,results/pdfbox/pdfbox/deptrim/libs-specialized/fontbox-2.0.27.jar,1393831
pdfbox,bcutil-jdk15on-1.70.jar,results/pdfbox/pdfbox/deptrim/libs-specialized/bcutil-jdk15on-1.70.jar,73451
pdfbox,bcpkix-jdk15on-1.70.jar,results/pdfbox/pdfbox/deptrim/libs-specialized/bcpkix-jdk15on-1.70.jar,128470
pdfbox,bcprov-jdk15on-1.70.jar,results/pdfbox/pdfbox/deptrim/libs-specialized/bcprov-jdk15on-1.70.jar,652960
jooby,slf4j-api-1.7.36.jar,results/jooby/jooby/deptrim/libs-specialized/slf4j-api-1.7.36.jar,39849
jooby,commons-io-2.11.0.jar,results/jooby/jooby/deptrim/libs-specialized/commons-io-2.11.0.jar,62847
jooby,asm-analysis-9.3.jar,results/jooby/jooby/deptrim/libs-specialized/asm-analysis-9.3.jar,906
jooby,config-1.4.2.jar,results/jooby/jooby/deptrim/libs-specialized/config-1.4.2.jar,286386
jooby,asm-tree-9.3.jar,results/jooby/jooby/deptrim/libs-specialized/asm-tree-9.3.jar,39302
jooby,annotations-13.0.jar,results/jooby/jooby/deptrim/libs-specialized/annotations-13.0.jar,3845
jooby,asm-9.3.jar,results/jooby/jooby/deptrim/libs-specialized/asm-9.3.jar,120729
jooby,kotlin-reflect-1.6.21.jar,results/jooby/jooby/deptrim/libs-specialized/kotlin-reflect-1.6.21.jar,3054273
jooby,kotlinx-coroutines-core-jvm-1.6.2.jar,results/jooby/jooby/deptrim/libs-specialized/kotlinx-coroutines-core-jvm-1.6.2.jar,405086
jooby,reactive-streams-1.0.3.jar,results/jooby/jooby/deptrim/libs-specialized/reactive-streams-1.0.3.jar,2234
jooby,rxjava-2.2.21.jar,results/jooby/jooby/deptrim/libs-specialized/rxjava-2.2.21.jar,2286526
jooby,kotlin-stdlib-1.6.21.jar,results/jooby/jooby/deptrim/libs-specialized/kotlin-stdlib-1.6.21.jar,1233000
jooby,reactor-core-3.4.18.jar,results/jooby/jooby/deptrim/libs-specialized/reactor-core-3.4.18.jar,1653392
jooby,bucket4j-core-6.4.1.jar,results/jooby/jooby/deptrim/libs-specialized/bucket4j-core-6.4.1.jar,42724
