Project,FilePath,Dependency,NA,RemovedTypes,TotalTypes
jooby,results/jooby/jooby/deptrim/deptrim.log,com.google.code.findbugs:jsr305:3.0.2,,24,35
jooby,results/jooby/jooby/deptrim/deptrim.log,com.typesafe:config:1.4.2,,6,181
jooby,results/jooby/jooby/deptrim/deptrim.log,org.unbescape:unbescape:1.1.6.RELEASE,,25,69
jooby,results/jooby/jooby/deptrim/deptrim.log,com.github.vladimir-bukhtoyarov:bucket4j-core:6.4.1,,58,93
auto,results/auto/common/deptrim/deptrim.log,com.google.errorprone:error_prone_annotations:2.11.0,,14,26
auto,results/auto/common/deptrim/deptrim.log,org.checkerframework:checker-qual:3.12.0,,326,333
auto,results/auto/common/deptrim/deptrim.log,com.squareup:javapoet:1.13.0,,5,43
auto,results/auto/common/deptrim/deptrim.log,com.google.code.findbugs:jsr305:3.0.2,,27,35
auto,results/auto/common/deptrim/deptrim.log,com.google.j2objc:j2objc-annotations:1.3,,10,12
auto,results/auto/common/deptrim/deptrim.log,com.google.guava:guava:31.1-jre,,1228,2023
mybatis-3,results/mybatis-3/deptrim/deptrim.log,commons-logging:commons-logging:1.2,,5,28
mybatis-3,results/mybatis-3/deptrim/deptrim.log,org.slf4j:slf4j-api:2.0.1,,8,52
mybatis-3,results/mybatis-3/deptrim/deptrim.log,org.ow2.asm:asm:7.1,,5,36
mybatis-3,results/mybatis-3/deptrim/deptrim.log,org.javassist:javassist:3.29.2-GA,,70,426
mybatis-3,results/mybatis-3/deptrim/deptrim.log,org.apache.logging.log4j:log4j-api:2.19.0,,68,193
mybatis-3,results/mybatis-3/deptrim/deptrim.log,cglib:cglib:3.3.0,,107,249
mybatis-3,results/mybatis-3/deptrim/deptrim.log,ognl:ognl:3.3.4,,4,144
mybatis-3,results/mybatis-3/deptrim/deptrim.log,ch.qos.reload4j:reload4j:1.2.22,,155,217
woodstox,results/woodstox/deptrim/deptrim.log,net.java.dev.msv:msv-core:2013.6.1,,501,524
woodstox,results/woodstox/deptrim/deptrim.log,org.codehaus.woodstox:stax2-api:4.2.1,,66,125
woodstox,results/woodstox/deptrim/deptrim.log,relaxngDatatype:relaxngDatatype:20020414,,15,16
undertow,results/undertow/core/deptrim/deptrim.log,org.jboss.logging:jboss-logging:3.4.1.Final,,3,35
undertow,results/undertow/core/deptrim/deptrim.log,org.jboss.xnio:xnio-api:3.8.7.Final,,81,421
undertow,results/undertow/core/deptrim/deptrim.log,org.wildfly.client:wildfly-client-config:1.0.1.Final,,2,16
undertow,results/undertow/core/deptrim/deptrim.log,org.wildfly.common:wildfly-common:1.5.4.Final,,120,204
undertow,results/undertow/core/deptrim/deptrim.log,org.jboss.threads:jboss-threads:3.1.0.Final,,18,66
tika-core,results/tika-core/deptrim/deptrim.log,commons-io:commons-io:2.11.0,,178,201
tika-core,results/tika-core/deptrim/deptrim.log,org.slf4j:slf4j-api:2.0.3,,9,52
tablesaw,results/tablesaw/json/deptrim/deptrim.log,org.apache.commons:commons-lang3:3.9,,210,281
tablesaw,results/tablesaw/json/deptrim/deptrim.log,com.github.wnameless.json:json-base:1.0.0,,7,24
tablesaw,results/tablesaw/json/deptrim/deptrim.log,org.apache.commons:commons-text:1.8,,113,134
tablesaw,results/tablesaw/json/deptrim/deptrim.log,com.github.wnameless.json:json-flattener:0.8.1,,2,19
tablesaw,results/tablesaw/json/deptrim/deptrim.log,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.13.2,,5,59
tablesaw,results/tablesaw/json/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,,31,707
tablesaw,results/tablesaw/json/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-core:2.13.2,,11,128
