Project,Dependency,DependencyJar,TotalOriginalClasses
checkstyle,org.javassist:javassist:3.28.0-GA,javassist-3.28.0-GA,426
checkstyle,org.slf4j:slf4j-api:1.7.32,slf4j-api-1.7.32,34
checkstyle,net.sf.saxon:Saxon-HE:11.4,Saxon-HE-11.4,2350
checkstyle,org.xmlresolver:xmlresolver:4.4.3,xmlresolver-4.4.3,86
checkstyle,org.checkerframework:checker-qual:3.27.0,checker-qual-3.27.0,358
helidon_openapi,io.helidon.webserver:helidon-webserver:2.5.6,helidon-webserver-2.5.6,156
helidon_openapi,io.helidon.common:helidon-common-reactive:2.5.6,helidon-common-reactive-2.5.6,195
helidon_openapi,io.helidon.common:helidon-common-mapper:2.5.6,helidon-common-mapper-2.5.6,13
helidon_openapi,io.helidon.common:helidon-common:2.5.6,helidon-common-2.5.6,39
helidon_openapi,io.helidon.common:helidon-common-http:2.5.6,helidon-common-http-2.5.6,58
helidon_openapi,io.helidon.media:helidon-media-common:2.5.6,helidon-media-common-2.5.6,72
helidon_openapi,io.helidon.common:helidon-common-key-util:2.5.6,helidon-common-key-util-2.5.6,12
helidon_openapi,io.helidon.common:helidon-common-configurable:2.5.6,helidon-common-configurable-2.5.6,39
helidon_openapi,io.helidon.logging:helidon-logging-common:2.5.6,helidon-logging-common-2.5.6,5
helidon_openapi,io.opentracing:opentracing-util:0.33.0,opentracing-util-0.33.0,5
helidon_openapi,io.opentracing:opentracing-api:0.33.0,opentracing-api-0.33.0,29
helidon_openapi,io.opentracing:opentracing-noop:0.33.0,opentracing-noop-0.33.0,13
helidon_openapi,io.helidon.tracing:helidon-tracing-config:2.5.6,helidon-tracing-config-2.5.6,21
helidon_openapi,io.netty:netty-codec-http:4.1.86.Final,netty-codec-http-4.1.86.Final,385
helidon_openapi,io.netty:netty-common:4.1.86.Final,netty-common-4.1.86.Final,488
helidon_openapi,io.netty:netty-transport:4.1.86.Final,netty-transport-4.1.86.Final,366
helidon_openapi,io.netty:netty-codec:4.1.86.Final,netty-codec-4.1.86.Final,217
helidon_openapi,io.netty:netty-codec-http2:4.1.86.Final,netty-codec-http2-4.1.86.Final,277
helidon_openapi,io.netty:netty-handler:4.1.86.Final,netty-handler-4.1.86.Final,344
helidon_openapi,io.netty:netty-resolver:4.1.86.Final,netty-resolver-4.1.86.Final,29
helidon_openapi,io.netty:netty-transport-native-unix-common:4.1.86.Final,netty-transport-native-unix-common-4.1.86.Final,32
helidon_openapi,io.smallrye:smallrye-open-api-core:2.0.26,smallrye-open-api-core-2.0.26,234
helidon_openapi,org.eclipse.microprofile.config:microprofile-config-api:1.4,microprofile-config-api-1.4,11
helidon_openapi,org.jboss.logging:jboss-logging:3.2.1.Final,jboss-logging-3.2.1.Final,48
helidon_openapi,io.smallrye:smallrye-open-api-jaxrs:2.0.26,smallrye-open-api-jaxrs-2.0.26,9
helidon_openapi,io.helidon.media:helidon-media-jsonp:2.5.6,helidon-media-jsonp-2.5.6,12
