Project,Dependency,DependencyJar,TotalOriginalClasses
undertow_core,org.jboss.xnio:xnio-api:3.8.7.Final,xnio-api-3.8.7.Final,421
undertow_core,org.wildfly.common:wildfly-common:1.5.4.Final,wildfly-common-1.5.4.Final,204
undertow_core,org.wildfly.client:wildfly-client-config:1.0.1.Final,wildfly-client-config-1.0.1.Final,16
undertow_core,org.jboss.threads:jboss-threads:3.1.0.Final,jboss-threads-3.1.0.Final,66
jimfs,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
jimfs,com.ibm.icu:icu4j:68.2,icu4j-68.2,1526
jimfs,com.google.guava:failureaccess:1.0.1,failureaccess-1.0.1,2
jimfs,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava,0
jimfs,com.google.errorprone:error_prone_annotations:2.3.4,error_prone_annotations-2.3.4,22
jimfs,org.checkerframework:checker-compat-qual:2.5.5,checker-compat-qual-2.5.5,10
jimfs,com.google.j2objc:j2objc-annotations:1.3,j2objc-annotations-1.3,12
jimfs,com.google.guava:guava:30.1-android,guava-30.1-android,1952
jimfs,com.google.auto.service:auto-service-annotations:1.0-rc7,auto-service-annotations-1.0-rc7,1
OpenPDF,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
OpenPDF,org.apache.xmlgraphics:fop:2.7,fop-2.7,2582
OpenPDF,org.apache.xmlgraphics:batik-svg-dom:1.14,batik-svg-dom-1.14,64
OpenPDF,org.apache.xmlgraphics:batik-bridge:1.14,batik-bridge-1.14,399
OpenPDF,com.ibm.icu:icu4j:71.1,icu4j-71.1,1555
OpenPDF,org.apache.xmlgraphics:batik-script:1.14,batik-script-1.14,13
OpenPDF,commons-logging:commons-logging:1.0.4,commons-logging-1.0.4,18
OpenPDF,org.apache.pdfbox:fontbox:2.0.24,fontbox-2.0.24,157
OpenPDF,com.thoughtworks.qdox:qdox:1.12,qdox-1.12,104
OpenPDF,org.apache.xmlgraphics:batik-css:1.14,batik-css-1.14,237
OpenPDF,org.apache.xmlgraphics:batik-util:1.14,batik-util-1.14,80
OpenPDF,xml-apis:xml-apis:1.4.01,xml-apis-1.4.01,346
OpenPDF,xml-apis:xml-apis-ext:1.3.04,xml-apis-ext-1.3.04,192
OpenPDF,org.apache.xmlgraphics:batik-gvt:1.14,batik-gvt-1.14,103
OpenPDF,org.apache.xmlgraphics:batik-transcoder:1.14,batik-transcoder-1.14,60
OpenPDF,org.apache.xmlgraphics:batik-awt-util:1.14,batik-awt-util-1.14,222
OpenPDF,org.apache.xmlgraphics:batik-shared-resources:1.14,batik-shared-resources-1.14,0
OpenPDF,org.apache.xmlgraphics:batik-svggen:1.14,batik-svggen-1.14,157
OpenPDF,org.apache.xmlgraphics:batik-xml:1.14,batik-xml-1.14,6
OpenPDF,org.apache.xmlgraphics:batik-extension:1.14,batik-extension-1.14,47
OpenPDF,org.apache.xmlgraphics:fop-util:2.7,fop-util-2.7,15
OpenPDF,org.apache.xmlgraphics:batik-dom:1.14,batik-dom-1.14,115
OpenPDF,xalan:serializer:2.7.2,serializer-2.7.2,108
OpenPDF,org.apache.xmlgraphics:batik-ext:1.14,batik-ext-1.14,7
OpenPDF,org.apache.xmlgraphics:xmlgraphics-commons:2.7,xmlgraphics-commons-2.7,375
OpenPDF,org.apache.xmlgraphics:batik-anim:1.14,batik-anim-1.14,396
OpenPDF,org.apache.xmlgraphics:batik-parser:1.14,batik-parser-1.14,55
OpenPDF,xalan:xalan:2.7.2,xalan-2.7.2,1501
OpenPDF,org.bouncycastle:bcutil-jdk18on:1.71.1,bcutil-jdk18on-1.71.1,579
OpenPDF,org.apache.xmlgraphics:batik-i18n:1.14,batik-i18n-1.14,4
OpenPDF,org.apache.xmlgraphics:fop-core:2.7,fop-core-2.7,2547
OpenPDF,org.apache.xmlgraphics:fop-events:2.7,fop-events-2.7,24
OpenPDF,org.bouncycastle:bcprov-jdk18on:1.71.1,bcprov-jdk18on-1.71.1,4567
OpenPDF,org.apache.xmlgraphics:batik-constants:1.14,batik-constants-1.14,1
OpenPDF,org.bouncycastle:bcpkix-jdk18on:1.71.1,bcpkix-jdk18on-1.71.1,841
httpcomponents-client_httpclient5,org.apache.httpcomponents.core5:httpcore5:5.2,httpcore5-5.2,635
httpcomponents-client_httpclient5,org.apache.httpcomponents.core5:httpcore5-h2:5.2,httpcore5-h2-5.2,149
httpcomponents-client_httpclient5,org.slf4j:slf4j-api:1.7.36,slf4j-api-1.7.36,34
httpcomponents-client_httpclient5,org.conscrypt:conscrypt-openjdk-uber:2.5.2,conscrypt-openjdk-uber-2.5.2,316
httpcomponents-client_httpclient5,org.brotli:dec:0.1.2,dec-0.1.2,19
jcabi-github,com.jcabi:jcabi-aspects:0.24.1,jcabi-aspects-0.24.1,50
jcabi-github,com.jcabi:jcabi-immutable:1.5,jcabi-immutable-1.5,11
jcabi-github,com.jcabi:jcabi-xml:0.25.3,jcabi-xml-0.25.3,21
jcabi-github,org.cactoos:cactoos:0.54.0,cactoos-0.54.0,329
jcabi-github,com.jcabi:jcabi-http:1.20.1,jcabi-http-1.20.1,74
jcabi-github,com.jcabi:jcabi-manifests:1.2.1,jcabi-manifests-1.2.1,7
jcabi-github,com.jcabi.incubator:xembly:0.28.1,xembly-0.28.1,40
jcabi-github,org.antlr:antlr4-runtime:4.10.1,antlr4-runtime-4.10.1,213
jcabi-github,com.jcabi:jcabi-log:0.22.0,jcabi-log-0.22.0,39
jcabi-github,org.slf4j:slf4j-api:2.0.0-beta1,slf4j-api-2.0.0-beta1,52
jcabi-github,commons-io:commons-io:2.11.0,commons-io-2.11.0,201
jcabi-github,org.apache.commons:commons-lang3:3.12.0,commons-lang3-3.12.0,345
jcabi-github,org.hamcrest:hamcrest:2.2,hamcrest-2.2,108
jcabi-github,com.google.guava:guava:31.1-jre,guava-31.1-jre,2023
jcabi-github,com.google.guava:failureaccess:1.0.1,failureaccess-1.0.1,2
jcabi-github,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava,0
jcabi-github,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
jcabi-github,org.checkerframework:checker-qual:3.12.0,checker-qual-3.12.0,333
jcabi-github,com.google.errorprone:error_prone_annotations:2.11.0,error_prone_annotations-2.11.0,26
jcabi-github,com.google.j2objc:j2objc-annotations:1.3,j2objc-annotations-1.3,12
scribejava-core,javax.xml.bind:jaxb-api:2.3.0,jaxb-api-2.3.0,112
scribejava-core,commons-codec:commons-codec:1.15,commons-codec-1.15,106
scribejava-core,jakarta.xml.bind:jakarta.xml.bind-api:3.0.1,jakarta.xml.bind-api-3.0.1,112
scribejava-core,com.fasterxml.jackson.core:jackson-databind:2.13.4,jackson-databind-2.13.4,708
scribejava-core,com.github.scribejava:scribejava-java8:8.3.2,scribejava-java8-8.3.2,1
scribejava-core,com.fasterxml.jackson.core:jackson-annotations:2.13.4,jackson-annotations-2.13.4,72
scribejava-core,com.fasterxml.jackson.core:jackson-core:2.13.4,jackson-core-2.13.4,128
scribejava-core,com.sun.activation:jakarta.activation:2.0.1,jakarta.activation-2.0.1,39
CoreNLP,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
CoreNLP,javax.xml.bind:jaxb-api:2.4.0-b180830.0359,jaxb-api-2.4.0-b180830.0359,112
CoreNLP,com.sun.istack:istack-commons-runtime:3.0.7,istack-commons-runtime-3.0.7,22
CoreNLP,org.ejml:ejml-zdense:0.39,ejml-zdense-0.39,31
CoreNLP,xerces:xercesImpl:2.8.0,xercesImpl-2.8.0,878
CoreNLP,org.ejml:ejml-cdense:0.39,ejml-cdense-0.39,31
CoreNLP,org.slf4j:slf4j-api:1.7.12,slf4j-api-1.7.12,28
CoreNLP,org.ejml:ejml-core:0.39,ejml-core-0.39,147
CoreNLP,joda-time:joda-time:2.10.5,joda-time-2.10.5,247
CoreNLP,xml-apis:xml-apis:1.3.03,xml-apis-1.3.03,302
CoreNLP,org.glassfish:javax.json:1.0.4,javax.json-1.0.4,72
CoreNLP,org.apache.commons:commons-lang3:3.3.1,commons-lang3-3.3.1,217
CoreNLP,com.googlecode.json-simple:json-simple:1.1.1,json-simple-1.1.1,12
CoreNLP,xom:xom:1.3.7,xom-1.3.7,287
CoreNLP,com.google.protobuf:protobuf-java:3.19.2,protobuf-java-3.19.2,675
CoreNLP,org.ejml:ejml-dsparse:0.39,ejml-dsparse-0.39,27
CoreNLP,javax.servlet:javax.servlet-api:3.0.1,javax.servlet-api-3.0.1,74
CoreNLP,xalan:serializer:2.7.2,serializer-2.7.2,108
CoreNLP,org.apache.lucene:lucene-analyzers-common:7.5.0,lucene-analyzers-common-7.5.0,578
CoreNLP,com.sun.xml.bind:jaxb-impl:2.4.0-b180830.0438,jaxb-impl-2.4.0-b180830.0438,642
CoreNLP,org.ejml:ejml-fdense:0.39,ejml-fdense-0.39,124
CoreNLP,javax.activation:javax.activation-api:1.2.0,javax.activation-api-1.2.0,31
CoreNLP,org.apache.lucene:lucene-sandbox:7.5.0,lucene-sandbox-7.5.0,156
CoreNLP,xalan:xalan:2.7.2,xalan-2.7.2,1501
CoreNLP,com.apple:AppleJavaExtensions:1.4,AppleJavaExtensions-1.4,21
CoreNLP,de.jollyday:jollyday:0.4.9,jollyday-0.4.9,82
CoreNLP,org.ejml:ejml-ddense:0.39,ejml-ddense-0.39,124
CoreNLP,org.ejml:ejml-fsparse:0.39,ejml-fsparse-0.39,26
CoreNLP,org.ejml:ejml-simple:0.39,ejml-simple-0.39,146
CoreNLP,org.apache.lucene:lucene-queryparser:7.5.0,lucene-queryparser-7.5.0,254
CoreNLP,org.apache.lucene:lucene-core:7.5.0,lucene-core-7.5.0,1923
CoreNLP,org.apache.lucene:lucene-queries:7.5.0,lucene-queries-7.5.0,208
immutables_gson,com.google.code.gson:gson:2.8.8,gson-2.8.8,182
immutables_gson,javax.ws.rs:javax.ws.rs-api:2.0,javax.ws.rs-api-2.0,125
poi-tl,org.slf4j:slf4j-api:1.7.32,slf4j-api-1.7.32,34
poi-tl,org.apache.xmlgraphics:batik-bridge:1.14,batik-bridge-1.14,399
poi-tl,org.apache.poi:poi:5.2.2,poi-5.2.2,1652
poi-tl,com.github.virtuald:curvesapi:1.07,curvesapi-1.07,101
poi-tl,org.apache.xmlgraphics:batik-script:1.14,batik-script-1.14,13
poi-tl,org.apache.xmlgraphics:batik-util:1.14,batik-util-1.14,80
poi-tl,org.apache.xmlgraphics:batik-transcoder:1.14,batik-transcoder-1.14,60
poi-tl,xml-apis:xml-apis:1.4.01,xml-apis-1.4.01,346
poi-tl,org.apache.xmlgraphics:batik-gvt:1.14,batik-gvt-1.14,103
poi-tl,xml-apis:xml-apis-ext:1.3.04,xml-apis-ext-1.3.04,192
poi-tl,org.apache.xmlbeans:xmlbeans:5.0.3,xmlbeans-5.0.3,1031
poi-tl,org.apache.xmlgraphics:batik-awt-util:1.14,batik-awt-util-1.14,222
poi-tl,org.apache.commons:commons-math3:3.6.1,commons-math3-3.6.1,1301
poi-tl,org.apache.xmlgraphics:batik-shared-resources:1.14,batik-shared-resources-1.14,0
poi-tl,org.apache.xmlgraphics:batik-svggen:1.14,batik-svggen-1.14,157
poi-tl,org.apache.xmlgraphics:batik-xml:1.14,batik-xml-1.14,6
poi-tl,commons-codec:commons-codec:1.15,commons-codec-1.15,106
poi-tl,org.apache.xmlgraphics:batik-ext:1.14,batik-ext-1.14,7
poi-tl,org.apache.xmlgraphics:batik-anim:1.14,batik-anim-1.14,396
poi-tl,com.zaxxer:SparseBitSet:1.2,SparseBitSet-1.2,15
poi-tl,org.apache.xmlgraphics:batik-parser:1.14,batik-parser-1.14,55
poi-tl,org.apache.xmlgraphics:xmlgraphics-commons:2.6,xmlgraphics-commons-2.6,374
poi-tl,org.apache.logging.log4j:log4j-api:2.17.2,log4j-api-2.17.2,180
poi-tl,org.apache.commons:commons-lang3:3.3.2,commons-lang3-3.3.2,217
poi-tl,org.apache.xmlgraphics:batik-constants:1.14,batik-constants-1.14,1
poi-tl,org.apache.commons:commons-compress:1.21,commons-compress-1.21,524
poi-tl,org.apache.xmlgraphics:batik-svg-dom:1.14,batik-svg-dom-1.14,64
poi-tl,org.apache.poi:poi-ooxml-lite:5.2.2,poi-ooxml-lite-5.2.2,2494
poi-tl,commons-logging:commons-logging:1.0.4,commons-logging-1.0.4,18
poi-tl,commons-io:commons-io:2.11.0,commons-io-2.11.0,201
poi-tl,org.apache.xmlgraphics:batik-css:1.14,batik-css-1.14,237
poi-tl,org.apache.poi:poi-ooxml:5.2.2,poi-ooxml-5.2.2,869
poi-tl,org.apache.commons:commons-collections4:4.4,commons-collections4-4.4,524
poi-tl,org.apache.xmlgraphics:batik-dom:1.14,batik-dom-1.14,115
poi-tl,org.apache.xmlgraphics:batik-i18n:1.14,batik-i18n-1.14,4
poi-tl,org.apache.xmlgraphics:batik-codec:1.14,batik-codec-1.14,45
java-faker,org.apache.commons:commons-lang3:3.5,commons-lang3-3.5,260
java-faker,org.yaml:snakeyaml:1.26,snakeyaml-1.26-android,214
java-faker,dk.brics.automaton:automaton:1.11-8,automaton-1.11-8,25
java-faker,com.github.mifmif:generex:1.0.2,generex-1.0.2,7
tika_tika-core,org.slf4j:slf4j-api:2.0.3,slf4j-api-2.0.3,52
tika_tika-core,commons-io:commons-io:2.11.0,commons-io-2.11.0,201
