Version,Type,IsUsed
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap,no
tabusearch,org.apache.commons.collections4.map.Flat3Map,no
tabusearch,org.apache.commons.collections4.splitmap.TransformedSplitMap,no
tabusearch,org.apache.commons.collections4.bag.SynchronizedBag,no
tabusearch,org.apache.commons.collections4.TrieUtils,no
tabusearch,org.apache.commons.collections4.functors.NullPredicate,yes
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$ListOrderedIterator,no
tabusearch,org.apache.commons.collections4.functors.WhileClosure,no
tabusearch,org.apache.commons.collections4.iterators.SingletonListIterator,yes
tabusearch,org.apache.commons.collections4.list.TransformedList,yes
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$Node,no
tabusearch,org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$1,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$KeySetIterator,no
tabusearch,org.apache.commons.collections4.iterators.EmptyIterator,yes
tabusearch,org.apache.commons.collections4.functors.PredicateTransformer,no
tabusearch,org.apache.commons.collections4.list.AbstractLinkedList$LinkedSubListIterator,no
tabusearch,org.apache.commons.collections4.trie.KeyAnalyzer,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValuesIterator,no
tabusearch,org.apache.commons.collections4.functors.NonePredicate,yes
tabusearch,org.apache.commons.collections4.map.SingletonMap,no
tabusearch,org.apache.commons.collections4.list.PredicatedList$PredicatedListIterator,yes
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$MapEntry,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$InverseEntryView,no
tabusearch,org.apache.commons.collections4.CollectionUtils,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceKeySetIterator,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$WeakRef,no
tabusearch,org.apache.commons.collections4.map.PassiveExpiringMap$ConstantTimeToLiveExpirationPolicy,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$ValuesIterator,no
tabusearch,org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap,no
tabusearch,org.apache.commons.collections4.iterators.ArrayListIterator,yes
tabusearch,org.apache.commons.collections4.functors.ChainedTransformer,no
tabusearch,org.apache.commons.collections4.functors.FunctorUtils,yes
tabusearch,org.apache.commons.collections4.functors.PrototypeFactory,no
tabusearch,org.apache.commons.collections4.iterators.ReverseListIterator,no
tabusearch,org.apache.commons.collections4.collection.PredicatedCollection,yes
tabusearch,org.apache.commons.collections4.set.AbstractSetDecorator,yes
tabusearch,org.apache.commons.collections4.comparators.ComparableComparator,yes
tabusearch,org.apache.commons.collections4.ListUtils$1,yes
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$1,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$KeySet,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewIterator,no
tabusearch,org.apache.commons.collections4.list.CursorableLinkedList,no
tabusearch,org.apache.commons.collections4.list.SetUniqueList,no
tabusearch,org.apache.commons.collections4.iterators.EnumerationIterator,yes
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySet,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$Values,no
tabusearch,org.apache.commons.collections4.trie.UnmodifiableTrie,no
tabusearch,org.apache.commons.collections4.IteratorUtils,yes
tabusearch,org.apache.commons.collections4.functors.NullIsFalsePredicate,yes
tabusearch,org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator,no
tabusearch,org.apache.commons.collections4.functors.IdentityPredicate,yes
tabusearch,org.apache.commons.collections4.bag.TransformedBag,no
tabusearch,org.apache.commons.collections4.set.TransformedSet,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySet,no
tabusearch,org.apache.commons.collections4.keyvalue.DefaultMapEntry,no
tabusearch,org.apache.commons.collections4.iterators.FilterListIterator,yes
tabusearch,org.apache.commons.collections4.ListUtils,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap,no
tabusearch,org.apache.commons.collections4.iterators.ArrayIterator,yes
tabusearch,org.apache.commons.collections4.functors.FalsePredicate,yes
tabusearch,org.apache.commons.collections4.map.UnmodifiableSortedMap,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$View,no
tabusearch,org.apache.commons.collections4.list.TreeList,no
tabusearch,org.apache.commons.collections4.map.UnmodifiableEntrySet$UnmodifiableEntrySetIterator,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,no
tabusearch,org.apache.commons.collections4.list.AbstractLinkedList$LinkedSubList,no
tabusearch,org.apache.commons.collections4.iterators.CollatingIterator,yes
tabusearch,org.apache.commons.collections4.map.TransformedMap,no
tabusearch,org.apache.commons.collections4.OrderedMapIterator,yes
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$ValueView,no
tabusearch,org.apache.commons.collections4.queue.CircularFifoQueue$1,yes
