Version,Type,IsUsed
tabusearch,org.apache.commons.collections4.collection.SynchronizedCollection,yes
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$View,no
tabusearch,org.apache.commons.collections4.iterators.ObjectArrayIterator,yes
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$EntryIterator,no
tabusearch,org.apache.commons.collections4.set.UnmodifiableSet,yes
tabusearch,org.apache.commons.collections4.IterableMap,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$BaseIterator,no
tabusearch,org.apache.commons.collections4.bag.TransformedSortedBag,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$KeyIterator,no
tabusearch,org.apache.commons.collections4.bag.CollectionSortedBag,no
tabusearch,org.apache.commons.collections4.bag.AbstractSortedBagDecorator,no
tabusearch,org.apache.commons.collections4.map.MultiValueMap$1$1$1,no
tabusearch,org.apache.commons.collections4.functors.IfClosure,no
tabusearch,org.apache.commons.collections4.bag.AbstractMapBag$MutableInteger,yes
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$TrieEntry,no
tabusearch,org.apache.commons.collections4.bag.SynchronizedSortedBag,no
tabusearch,org.apache.commons.collections4.map.MultiValueMap,no
tabusearch,org.apache.commons.collections4.set.TransformedSortedSet,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$EntryView,no
tabusearch,org.apache.commons.collections4.comparators.NullComparator,yes
tabusearch,org.apache.commons.collections4.Unmodifiable,yes
tabusearch,org.apache.commons.collections4.MapUtils,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap,no
tabusearch,org.apache.commons.collections4.SplitMapUtils$1,no
tabusearch,org.apache.commons.collections4.set.CompositeSet$SetMutator,no
tabusearch,org.apache.commons.collections4.SortedBag,no
tabusearch,org.apache.commons.collections4.ResettableIterator,yes
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$EntrySet,no
tabusearch,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator,no
tabusearch,org.apache.commons.collections4.map.UnmodifiableEntrySet$UnmodifiableEntry,no
tabusearch,org.apache.commons.collections4.OrderedIterator,yes
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$1,no
tabusearch,org.apache.commons.collections4.bag.AbstractBagDecorator,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$Values,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator,no
tabusearch,org.apache.commons.collections4.map.MultiValueMap$Values,no
tabusearch,org.apache.commons.collections4.functors.ExceptionPredicate,yes
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap$EntrySetIterator,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator,no
tabusearch,org.apache.commons.collections4.set.PredicatedSortedSet,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$PrefixRangeEntrySet$SingletonIterator,no
tabusearch,org.apache.commons.collections4.iterators.IteratorIterable$1,yes
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$KeySet,no
tabusearch,org.apache.commons.collections4.CollectionUtils$SetOperationCardinalityHelper,yes
tabusearch,org.apache.commons.collections4.map.SingletonMap$SingletonMapIterator,no
tabusearch,org.apache.commons.collections4.functors.AnyPredicate,yes
tabusearch,org.apache.commons.collections4.functors.CloneTransformer,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$EntrySet,no
tabusearch,org.apache.commons.collections4.Transformer,yes
tabusearch,org.apache.commons.collections4.set.ListOrderedSet$1,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$Values,no
tabusearch,org.apache.commons.collections4.iterators.ObjectArrayListIterator,yes
tabusearch,org.apache.commons.collections4.bag.UnmodifiableBag,no
tabusearch,org.apache.commons.collections4.sequence.InsertCommand,yes
tabusearch,org.apache.commons.collections4.functors.NOPClosure,no
tabusearch,org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$RangeEntryMap,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$EntrySet,no
tabusearch,org.apache.commons.collections4.SplitMapUtils,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,no
tabusearch,org.apache.commons.collections4.trie.PatriciaTrie,no
tabusearch,org.apache.commons.collections4.collection.IndexedCollection,no
tabusearch,org.apache.commons.collections4.CollectionUtils$1,yes
tabusearch,org.apache.commons.collections4.iterators.AbstractEmptyIterator,yes
tabusearch,org.apache.commons.collections4.collection.CompositeCollection,no
tabusearch,org.apache.commons.collections4.SetUtils,no
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator,no
tabusearch,org.apache.commons.collections4.FunctorException,yes
tabusearch,org.apache.commons.collections4.Factory,yes
tabusearch,org.apache.commons.collections4.map.AbstractIterableMap,no
tabusearch,org.apache.commons.collections4.iterators.ObjectGraphIterator,yes
tabusearch,org.apache.commons.collections4.list.FixedSizeList$FixedSizeListIterator,yes
tabusearch,org.apache.commons.collections4.map.Flat3Map$KeySetIterator,no
tabusearch,org.apache.commons.collections4.collection.UnmodifiableCollection,yes
tabusearch,org.apache.commons.collections4.functors.SwitchClosure,no
tabusearch,org.apache.commons.collections4.map.AbstractSortedMapDecorator,no
tabusearch,org.apache.commons.collections4.functors.ConstantFactory,no
tabusearch,org.apache.commons.collections4.ResettableListIterator,yes
tabusearch,org.apache.commons.collections4.functors.PrototypeFactory$1,no
tabusearch,org.apache.commons.collections4.comparators.ReverseComparator,yes
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$Node,no
tabusearch,org.apache.commons.collections4.map.LRUMap,no
tabusearch,org.apache.commons.collections4.Equator,yes
tabusearch,org.apache.commons.collections4.queue.TransformedQueue,no
tabusearch,org.apache.commons.collections4.iterators.UnmodifiableMapIterator,yes
tabusearch,org.apache.commons.collections4.functors.TransformerClosure,no
tabusearch,org.apache.commons.collections4.set.AbstractSerializableSetDecorator,yes
tabusearch,org.apache.commons.collections4.functors.InstantiateFactory,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapEntryIterator,no
tabusearch,org.apache.commons.collections4.FactoryUtils,no
tabusearch,org.apache.commons.collections4.functors.CatchAndRethrowClosure,no
tabusearch,org.apache.commons.collections4.keyvalue.MultiKey,no
tabusearch,org.apache.commons.collections4.iterators.LazyIteratorChain,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$ValueIterator,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$ValuesView$1,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntrySet,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$KeySet,no
tabusearch,org.apache.commons.collections4.bag.TreeBag,no
tabusearch,org.apache.commons.collections4.iterators.PeekingIterator,yes
tabusearch,org.apache.commons.collections4.iterators.EmptyOrderedIterator,yes
tabusearch,org.apache.commons.collections4.functors.NullIsTruePredicate,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceValues,no
tabusearch,org.apache.commons.collections4.BagUtils,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$KeySet,no
tabusearch,org.apache.commons.collections4.keyvalue.AbstractKeyValue,no
tabusearch,org.apache.commons.collections4.iterators.IteratorChain,yes
tabusearch,org.apache.commons.collections4.sequence.CommandVisitor,yes
tabusearch,org.apache.commons.collections4.functors.ExceptionFactory,no
tabusearch,org.apache.commons.collections4.functors.UniquePredicate,yes
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator,no
tabusearch,org.apache.commons.collections4.bidimap.UnmodifiableBidiMap,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$PrefixRangeMap,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$Inverse,no
tabusearch,org.apache.commons.collections4.list.AbstractLinkedList$LinkedListIterator,no
tabusearch,org.apache.commons.collections4.iterators.AbstractEmptyMapIterator,yes
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$EntrySet,no
tabusearch,org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$PrefixRangeEntrySet$EntryIterator,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$PrefixRangeEntrySet,no
tabusearch,org.apache.commons.collections4.map.FixedSizeSortedMap,no
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap$KeySetIterator,no
tabusearch,org.apache.commons.collections4.queue.CircularFifoQueue,yes
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$RangeEntrySet$EntryIterator,no
tabusearch,org.apache.commons.collections4.list.SetUniqueList$SetListListIterator,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$ValuesView,no
tabusearch,org.apache.commons.collections4.functors.FactoryTransformer,no
tabusearch,org.apache.commons.collections4.sequence.DeleteCommand,yes
tabusearch,org.apache.commons.collections4.iterators.IteratorIterable,yes
tabusearch,org.apache.commons.collections4.functors.StringValueTransformer,no
tabusearch,org.apache.commons.collections4.functors.InstantiateTransformer,no
tabusearch,org.apache.commons.collections4.sequence.ReplacementsHandler,no
tabusearch,org.apache.commons.collections4.map.PredicatedSortedMap,no
tabusearch,org.apache.commons.collections4.sequence.SequencesComparator$Snake,yes
tabusearch,org.apache.commons.collections4.BoundedMap,no
tabusearch,org.apache.commons.collections4.bag.SynchronizedBag$SynchronizedBagSet,no
tabusearch,org.apache.commons.collections4.TransformerUtils,no
tabusearch,org.apache.commons.collections4.queue.AbstractQueueDecorator,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$FlatMapEntry,no
tabusearch,org.apache.commons.collections4.map.LinkedMap$LinkedMapList,no
tabusearch,org.apache.commons.collections4.comparators.BooleanComparator,yes
tabusearch,org.apache.commons.collections4.map.LazyMap,no
tabusearch,org.apache.commons.collections4.collection.UnmodifiableBoundedCollection,yes
tabusearch,org.apache.commons.collections4.map.EntrySetToMapIteratorAdapter,no
tabusearch,org.apache.commons.collections4.KeyValue,no
tabusearch,org.apache.commons.collections4.MapUtils$1,no
tabusearch,org.apache.commons.collections4.MapUtils$2,no
tabusearch,org.apache.commons.collections4.comparators.TransformingComparator,yes
tabusearch,org.apache.commons.collections4.comparators.ComparatorChain,yes
tabusearch,org.apache.commons.collections4.map.PassiveExpiringMap,no
tabusearch,org.apache.commons.collections4.functors.OnePredicate,yes
tabusearch,org.apache.commons.collections4.set.ListOrderedSet$OrderedSetIterator,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$EntrySetView,no
tabusearch,org.apache.commons.collections4.ClosureUtils,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator,no
tabusearch,org.apache.commons.collections4.map.ReferenceIdentityMap,no
tabusearch,org.apache.commons.collections4.map.MultiValueMap$ReflectionFactory,no
tabusearch,org.apache.commons.collections4.list.TreeList$AVLNode,no
tabusearch,org.apache.commons.collections4.sequence.ReplacementsFinder,no
tabusearch,org.apache.commons.collections4.set.AbstractSortedSetDecorator,no
tabusearch,org.apache.commons.collections4.iterators.PushbackIterator,yes
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$RangeEntrySet,no
tabusearch,org.apache.commons.collections4.list.LazyList,yes
tabusearch,org.apache.commons.collections4.ListUtils$Partition,yes
tabusearch,org.apache.commons.collections4.list.GrowthList,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySetIterator,no
tabusearch,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$KeySet$KeyIterator,no
tabusearch,org.apache.commons.collections4.QueueUtils,no
tabusearch,org.apache.commons.collections4.iterators.UnmodifiableListIterator,yes
tabusearch,org.apache.commons.collections4.map.ReferenceMap,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$Values$ValueIterator,no
tabusearch,org.apache.commons.collections4.functors.TruePredicate,yes
tabusearch,org.apache.commons.collections4.Trie,no
tabusearch,org.apache.commons.collections4.functors.NotNullPredicate,yes
tabusearch,org.apache.commons.collections4.functors.DefaultEquator,yes
tabusearch,org.apache.commons.collections4.bag.UnmodifiableSortedBag,no
tabusearch,org.apache.commons.collections4.iterators.AbstractListIteratorDecorator,yes
tabusearch,org.apache.commons.collections4.iterators.AbstractIteratorDecorator,no
tabusearch,org.apache.commons.collections4.functors.AndPredicate,yes
tabusearch,org.apache.commons.collections4.map.MultiValueMap$ValuesIterator,no
tabusearch,org.apache.commons.collections4.list.TransformedList$TransformedListIterator,yes
tabusearch,org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator,no
tabusearch,org.apache.commons.collections4.queue.UnmodifiableQueue,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap$Lock,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$ListOrderedMapIterator,no
tabusearch,org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$EntrySetIterator,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$HashEntry,no
tabusearch,org.apache.commons.collections4.map.TransformedSortedMap,no
tabusearch,org.apache.commons.collections4.iterators.EmptyListIterator,yes
tabusearch,org.apache.commons.collections4.list.CursorableLinkedList$Cursor,no
tabusearch,org.apache.commons.collections4.functors.InstanceofPredicate,yes
tabusearch,org.apache.commons.collections4.map.AbstractMapDecorator,no
tabusearch,org.apache.commons.collections4.sequence.SequencesComparator,yes
tabusearch,org.apache.commons.collections4.list.SetUniqueList$SetListIterator,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$EntryIterator,no
tabusearch,org.apache.commons.collections4.OrderedMap,no
tabusearch,org.apache.commons.collections4.functors.OrPredicate,yes
tabusearch,org.apache.commons.collections4.map.UnmodifiableEntrySet,no
tabusearch,org.apache.commons.collections4.iterators.LoopingListIterator,yes
tabusearch,org.apache.commons.collections4.comparators.FixedOrderComparator$1,no
tabusearch,org.apache.commons.collections4.iterators.UnmodifiableOrderedMapIterator,no
tabusearch,org.apache.commons.collections4.collection.AbstractCollectionDecorator,yes
tabusearch,org.apache.commons.collections4.map.CompositeMap,no
tabusearch,org.apache.commons.collections4.iterators.EmptyMapIterator,yes
tabusearch,org.apache.commons.collections4.collection.CompositeCollection$CollectionMutator,no
tabusearch,org.apache.commons.collections4.bag.AbstractMapBag,yes
tabusearch,org.apache.commons.collections4.iterators.TransformIterator,yes
tabusearch,org.apache.commons.collections4.set.PredicatedSet,no
tabusearch,org.apache.commons.collections4.bag.HashBag,yes
tabusearch,org.apache.commons.collections4.map.Flat3Map$EntrySetIterator,no
tabusearch,org.apache.commons.collections4.IterableGet,no
tabusearch,org.apache.commons.collections4.sequence.EditCommand,yes
tabusearch,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator,no
tabusearch,org.apache.commons.collections4.Predicate,yes
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement,no
tabusearch,org.apache.commons.collections4.set.ListOrderedSet,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$Reference,no
tabusearch,org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$ValuesIterator,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap$KeyView,no
tabusearch,org.apache.commons.collections4.BidiMap,no
tabusearch,org.apache.commons.collections4.keyvalue.DefaultKeyValue,no
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap$ValuesIterator,no
tabusearch,org.apache.commons.collections4.comparators.FixedOrderComparator,no
tabusearch,org.apache.commons.collections4.bidimap.TreeBidiMap,no
tabusearch,org.apache.commons.collections4.list.CursorableLinkedList$SubCursor,no
tabusearch,org.apache.commons.collections4.SplitMapUtils$WrappedPut,no
tabusearch,org.apache.commons.collections4.map.MultiKeyMap,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$RangeMap,no
tabusearch,org.apache.commons.collections4.functors.InvokerTransformer,yes
tabusearch,org.apache.commons.collections4.bidimap.DualTreeBidiMap$ViewMap,no
tabusearch,org.apache.commons.collections4.map.StaticBucketMap,no
tabusearch,org.apache.commons.collections4.sequence.EditScript,yes
tabusearch,org.apache.commons.collections4.Bag,yes
tabusearch,org.apache.commons.collections4.SortedBidiMap,no
tabusearch,org.apache.commons.collections4.trie.AbstractBitwiseTrie,no
tabusearch,org.apache.commons.collections4.functors.ComparatorPredicate$1,no
tabusearch,org.apache.commons.collections4.CollectionUtils$CardinalityHelper,yes
tabusearch,org.apache.commons.collections4.functors.ClosureTransformer,no
tabusearch,org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$MapEntry,no
tabusearch,org.apache.commons.collections4.functors.EqualPredicate,yes
tabusearch,org.apache.commons.collections4.trie.AbstractBitwiseTrie$BasicEntry,no
tabusearch,org.apache.commons.collections4.iterators.EmptyOrderedMapIterator,yes
tabusearch,org.apache.commons.collections4.functors.TransformerPredicate,yes
tabusearch,org.apache.commons.collections4.map.PassiveExpiringMap$ExpirationPolicy,no
tabusearch,org.apache.commons.collections4.bag.PredicatedBag,no
tabusearch,org.apache.commons.collections4.functors.PrototypeFactory$PrototypeSerializationFactory,no
tabusearch,org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator,no
tabusearch,org.apache.commons.collections4.SplitMapUtils$WrappedGet,no
tabusearch,org.apache.commons.collections4.OrderedBidiMap,no
tabusearch,org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$EntrySet,no
tabusearch,org.apache.commons.collections4.functors.PredicateDecorator,yes
tabusearch,org.apache.commons.collections4.list.NodeCachingLinkedList,no
tabusearch,org.apache.commons.collections4.set.CompositeSet,no
tabusearch,org.apache.commons.collections4.iterators.AbstractOrderedMapIteratorDecorator,no
tabusearch,org.apache.commons.collections4.iterators.UnmodifiableIterator,yes
tabusearch,org.apache.commons.collections4.keyvalue.TiedMapEntry,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$HashMapIterator,no
tabusearch,org.apache.commons.collections4.map.FixedSizeMap,no
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$KeySetView$1,no
tabusearch,org.apache.commons.collections4.iterators.SingletonIterator,yes
tabusearch,org.apache.commons.collections4.map.UnmodifiableMap,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator,no
tabusearch,org.apache.commons.collections4.MapIterator,yes
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$ListOrderedMapEntry,no
tabusearch,org.apache.commons.collections4.set.UnmodifiableSortedSet,no
tabusearch,org.apache.commons.collections4.map.LinkedMap,no
tabusearch,org.apache.commons.collections4.functors.SwitchTransformer,no
tabusearch,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator,no
tabusearch,org.apache.commons.collections4.functors.NOPTransformer,no
tabusearch,org.apache.commons.collections4.list.UnmodifiableList,yes
tabusearch,org.apache.commons.collections4.iterators.PermutationIterator,yes
tabusearch,org.apache.commons.collections4.Closure,yes
tabusearch,org.apache.commons.collections4.map.CaseInsensitiveMap,no
tabusearch,org.apache.commons.collections4.ArrayStack,yes
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$TrieIterator,no
tabusearch,org.apache.commons.collections4.functors.NotPredicate,yes
tabusearch,org.apache.commons.collections4.EnumerationUtils,no
tabusearch,org.apache.commons.collections4.iterators.AbstractMapIteratorDecorator,no
tabusearch,org.apache.commons.collections4.functors.ChainedClosure,no
tabusearch,org.apache.commons.collections4.map.MultiValueMap$1,no
tabusearch,org.apache.commons.collections4.BoundedCollection,yes
tabusearch,org.apache.commons.collections4.map.HashedMap,no
tabusearch,org.apache.commons.collections4.functors.TransformedPredicate,yes
tabusearch,org.apache.commons.collections4.map.ListOrderedMap$KeySetView,no
tabusearch,org.apache.commons.collections4.functors.AllPredicate,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength,no
tabusearch,org.apache.commons.collections4.queue.PredicatedQueue,no
tabusearch,org.apache.commons.collections4.map.SingletonMap$SingletonValues,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$HashIterator,no
tabusearch,org.apache.commons.collections4.ComparatorUtils,yes
tabusearch,org.apache.commons.collections4.MultiMap,no
tabusearch,org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$TrieMapIterator,no
tabusearch,org.apache.commons.collections4.iterators.NodeListIterator,yes
tabusearch,org.apache.commons.collections4.functors.NullIsExceptionPredicate,yes
tabusearch,org.apache.commons.collections4.keyvalue.AbstractMapEntry,no
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$SoftRef,no
tabusearch,org.apache.commons.collections4.bag.PredicatedSortedBag,no
tabusearch,org.apache.commons.collections4.functors.MapTransformer,no
tabusearch,org.apache.commons.collections4.list.AbstractSerializableListDecorator,yes
tabusearch,org.apache.commons.collections4.iterators.FilterIterator,yes
tabusearch,org.apache.commons.collections4.Get,no
tabusearch,org.apache.commons.collections4.ListUtils$LcsVisitor,yes
tabusearch,org.apache.commons.collections4.functors.ComparatorPredicate,no
tabusearch,org.apache.commons.collections4.map.AbstractHashedMap$Values,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$ValuesIterator,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie$EntrySet$EntryIterator,no
tabusearch,org.apache.commons.collections4.IterableSortedMap,no
tabusearch,org.apache.commons.collections4.bag.AbstractMapBag$BagIterator,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntrySetIterator,no
tabusearch,org.apache.commons.collections4.set.MapBackedSet,no
tabusearch,org.apache.commons.collections4.iterators.UniqueFilterIterator,no
tabusearch,org.apache.commons.collections4.trie.AbstractPatriciaTrie,no
tabusearch,org.apache.commons.collections4.collection.TransformedCollection,yes
tabusearch,org.apache.commons.collections4.map.LazySortedMap,no
tabusearch,org.apache.commons.collections4.bag.CollectionBag,no
tabusearch,org.apache.commons.collections4.map.Flat3Map$Values,no
tabusearch,org.apache.commons.collections4.list.AbstractListDecorator,yes
tabusearch,org.apache.commons.collections4.bidimap.DualTreeBidiMap,no
tabusearch,org.apache.commons.collections4.list.FixedSizeList,yes
tabusearch,org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry,no
